text,title
"pope francis have renew call for an immediate ceasefire in gaza and the release of all israeli captive in a peace - focused address mark easter sunday , the most important day on the christian calendar .","pope renews call for gaza ceasefire, release of captives in easter address"
"united states president ronald reagan 's order to israeli prime minister menachem begin to put an end to his "" holocaust "" in lebanon be perhaps the well - know political anecdote from israel 's 1982 invasion .",biden is still the best us president israel could wish for
the israeli military have launch more air strike across the gaza strip to deadly effect as official discuss the late propose deal to end hostility and exchange prisoner .,israeli air strikes continue across gaza as truce talks struggle
french police officer enter the paris institute of political study ( sciences po ) in paris and remove pro - palestinian student activist who have occupy its building to protest israel 's war on gaza .,police remove pro-palestinian students from paris’s sciences po university
nan,mass graves found at southern gaza hospital raided by israeli forces
"here be how thing stand on saturday , april 6 , 2024 :","israel’s war on gaza: list of key events, day 183"
nan,relatives of gaza captives protest in cages
"the international court of justice call on israel to end its operation in rafah , the southernmost town in gaza .","icj rules israel must stop rafah operation, what’s next?"
"a united nations - back inquiry have conclude that war crime have be commit by israel and by hama as well as other palestinian group , during the now eight - month conflict .","israel in gaza, palestinian fighters in israel, what the un accuses them of"
the discovery of a mass grave inside the nasser medical complex in khan younis in the southern gaza strip this week have be meet with grief and horror from palestinians and have draw condemnation from the united nations and call for a transparent and credible investigation .,uncovering of mass grave at gaza’s nasser hospital: what you need to know
"the united kingdom will not halt arm sale to israel by british company after review the late legal advice on the matter , foreign minister david cameron have say .","uk will not block arms sales to israel, says foreign minister david cameron"
"hamas say it have launch rocket at tel aviv , prompt siren to sound in the israeli city for the first time in several month .","hamas fires rockets at israel’s tel aviv, causing first sirens for months"
nan,pakistani activists heckle german ambassador over gaza
"israeli tank have roll into rafah 's city centre and its army announce that it now control the entire philadelphi corridor , the strip of land that run along egypt 's border with gaza 's rafah governorate .",how israel pushed dotted ‘red lines’ to have its way in rafah
the head of powerful lebanese armed group hezbollah say that resident of northern israel would not be able to return home for the start of the next school year if their government press on with its assault on the gaza strip .,hezbollah says will keep fighting if israel presses on with assault on gaza
"hamas say its delegation have leave egypt but talk on a ceasefire in the gaza strip will continue next week until an agreement be reach with israel , whom the palestinian group say have "" thwart "" mediator ' attempt to broker a deal before the muslim holy month of ramadan .",gaza ceasefire talks end in cairo with ‘no substantial answer or solution’
"washington , dc – as israel 's war in gaza prompt mount human right concern , the united states have slowly notch up criticism of the israeli government while simultaneously continue to arm and support its ally .","timeline: the biden administration on gaza, in its own words"
"thirteen out of 21 people kill by israel in an air strike on the so - call "" safe area "" of al - mawasi be civilian woman and girl , al jazeera 's hind khoudary report on tuesday .",what happened when israel attacked rafah?
"an israeli air attack on a un - run school shelter displace palestinians in central gaza 's nuseirat camp kill at least 40 people , mainly woman and child , accord to local government official .","israel attacks un-run school in central gaza, killing at least 40"
nan,"‘silence the guns,’ says un chief in speech marking 6 months of war on gaza"
"here be how thing stand on tuesday , april 16 , 2024 :","israel’s war on gaza: list of key events, day 193"
"israeli prime minister benjamin netanyahu have say he would fight against any sanction be impose on israeli military unit for allege right violation , after a united states media outlet report that washington be plan such a step .",us set to impose sanctions on israeli military unit over abuses: report
al jazeera arabic correspondent ismail al - ghoul have be release after be arrest for 12 hour and severely beat by israeli force in gaza city 's al - shifa hospital .,al jazeera journalist freed after 12-hour arrest by israeli forces in gaza
"on may 1 , a draft resolution be submit to the united nations general assembly ( unga ) to declare july 11 a day of remembrance for the 1995 srebrenica genocide . the document be put forward by germany and rwanda and co - sponsor by the united states and other country . it will be debate and vote on during a unga session on may 23 .",the theatrics of genocidal impunity
al jazeera be report from outside israel because it have be ban by the israeli government .,israeli military spokesman’s hamas defeat remarks widen rift with netanyahu
nan,"un report on israel, hamas: murder, starvation, gender-based violence"
