text,title
"israel - hamaswar advertisement around 215 rocket be launch from lebanon into northern israel in an apparent response to the strike , israeli army radio say . there be no immediate report of casualty . byeuan ward report from beirut , lebanon the lebanese militant group hezbollah fire one of its heavy rocket barrage yet into israel on wednesday , target military basis and an arm factory , in response to an overnight strike thatkille one of its senior commandersa tension rise far at the border . the commander , taleb abdallah , also know as abu taleb , be among the highest - rank member of hezbollah , apowerful lebanese militia and political movementbacke by iran , to have be kill since the oct . 7 hamas - lead attack on israel set off war in gaza . there be no immediate report of casualty from the hezbollah rocket barrage , accord to the israeli military . israel and hamas have be trade fire since israel 's offensive in the gaza strip prompt hezbollah to mount cross - border attack in support of hamas , but the intensity of hezbollah 's attack have increase this month . israeli official have threaten at the high level to pursue further military action and hezbollah have vow to keep up its fight , raise fresh concern that the month of low - level conflict could grow into a large war on israel 's northern border . speak at mr . abdallah 's funeral in beirut 's southern suburb , hashem safieddine , the leader of hezbollah 's executive council , pledge that the group would double down on its attack against israel in the wake of the killing . "" if the enemy 's message be to retreat from our position in support the oppress in gaza , then he must know that our answer be final , "" mr . safieddine say . "" we will increase the intensity , quantity and quality of our operation . "" we be have trouble retrieve the article content . please enable javascript in your browser setting . thank you for your patience while we verify access . if you be in reader mode please exit andlog intoyour times account , orsubscribefor all of the time . thank you for your patience while we verify access . already a subscriber ? log in . want all of the time ? subscribe . advertisement",hezbollah launches rocket barrage after israeli strike kills a commander
"israel - hamaswar advertisement support by the assessment , at odd with prime minister benjamin netanyahu 's assertion that the country be "" on the brink of victory , "" come as israel claim control of a key buffer strip along egypt 's border . byaaron boxerman , gabby sobelman , erika solomonandthomas full israel 's national security adviser say wednesday that he expect military operation in gaza to continue through at least the end of the year , appear to dismiss the idea that the war could come to an end after the military offensive against hamas in rafah . "" we expect another seven month of combat in order to shore up our achievement and realize what we define as the destruction of hamas and islamic jihad 's military and govern capability , "" tzachi hanegbi , the national security adviser , say in a radio interview with kan , the israeli public broadcaster . the israeli military also say wednesday that it have seize "" operational control "" over abuffer stripalong the southern edge of gaza to prevent cross - border smuggling with egypt that would allow hamas and other palestinian militant group to rearm . prime minister benjamin netanyahu have say repeatedly that control the corridor be critical for israeli security in postwar gaza . rear adm . daniel hagari , the israeli military spokesman , say the zone be "" hamas 's oxygen tube "" and have be use by the palestinian armed group for "" smuggling munition into gazan territory on a regular basis . "" he say that hamas have also build tunnel near the egyptian border , calculate that israel would not dare strike so close to egyptian territory . in recent month , israeli defense official have tell the public to expect a protract campaign in gaza , although one that would progress in phase toward low - intensity fighting . still , mr . hanegbi 's assessment of at least another seven month of military operation appear to be at odd with early projection by mr . netanyahu , who say in april that the country be "" on the brink of victory "" in its war against hamas . we be have trouble retrieve the article content . please enable javascript in your browser setting . thank you for your patience while we verify access . if you be in reader mode please exit andlog intoyour times account , orsubscribefor all of the time . thank you for your patience while we verify access . already a subscriber ? log in . want all of the time ? subscribe . advertisement","gaza offensive to last at least to year’s end, israeli official says"
nan,"trapped and starving, 2 families in gaza try to keep their children alive"
nan,u.n. says israel may be restricting gaza aid as a war tactic
nan,help! we’re booked on a nile cruise but worry about our safety.
nan,penn trustees meeting is cut short after students protest over war in gaza
nan,how to define the term ‘antisemitism’ is the subject of bitter debate
"for more audio journalism and storytelling , download new york times audio , a new ios app available for news subscriber . host bytracy mumford featuringmaria abi - habibandaaron boxerman produce byian stewart edit byjessica metzger , tracy mumfordandjame shield on today 's episode : top u . n . court expect to rule on israel 's assault on rafah , by gaya gupta lawmaker dial up pressure on alito to recuse from election case , by zach montague trump 's v . p . pageant have an unexpectedly strong contender : tom cotton , by michael c . bender decade in the making , a new era dawn for the n . c . a . a . : pay athlete directly , by billy witz haiti 's gang grow strong as kenyan - lead force prepare to deploy , by maria abi - habib tune in , and tell we what you think attheheadline @ nytime . com . for correction , emailnytnew @ nytime . com . for more audio journalism and storytelling , downloadthe new york times audio app — available to time news subscriber on io — andsign upfor our weekly newsletter . maria abi - habibi an investigative correspondent report on latin america and be base in mexico city . more about maria abi - habib aaron boxermanis a time report fellow with a focus on international news . more about aaron boxerman advertisement","a week of diplomatic blows to israel, and calls for alito’s recusal"
nan,"the war in gaza has left a power vacuum, and scant planning to fill it"
"advertisement support by the head of rutger , northwestern and u . c . l . a . will be the first university leader to testify since a wave of protest encampment roil college campus . bysharon otterman , ernesto londoñoandnicholas bogel - burrough for the fourth time in six month , the republican - lead house committee on education and the workforce be summon school leader to washington to be question about accusation of antisemitism at their institution . this time , on thursday , the committee 's focus will be on how three diverse university react when pro - palestinian encampment spring up on their lawn as part of an international wave of student activism against the war in gaza . two of the school whose leader will testify — northwestern and rutger — make deal with protester to end their encampment peacefully . the third , the university of california , los angeles , call in the police to dismantle its encampment , but only after a violent attack by counterprotester the night before cause the situation toveer out of control . representative virginia foxx , the chairwoman of the committee , have blast rutger and northwestern for negotiate with the demonstrator , whose view she have describe as antisemitic and supportive of terrorism . but she have also deride u . c . l . a . ' s chancellor for call the police too late , say he allow his campus to become a "" severe and pervasive hostile environment for jewish student . "" "" the committee have a clear message for mealy - mouthed , spineless college leader : congress will not tolerate your dereliction of your duty to your jewish student , "" ms . foxx say in amay 16 statementannounce the hearing . "" no stone must go unturned while building be be deface , campus green be be capture or graduation be be ruin . "" the three college leader do not dispute that jewish student have face antisemitism , both on and off their campus . but all have largely defend their response , say that they have take step to stop it . we be have trouble retrieve the article content . please enable javascript in your browser setting . thank you for your patience while we verify access . if you be in reader mode please exit andlog intoyour times account , orsubscribefor all of the time . thank you for your patience while we verify access . already a subscriber ? log in . want all of the time ? subscribe . advertisement",3 more college leaders to face congress over antisemitism claims
