text,title
"pope francis has renewed calls for an immediate ceasefire in gaza and the release of all israeli captives in a peace - focused address marking easter sunday , the most important day on the christian calendar .","pope renews call for gaza ceasefire, release of captives in easter address"
"united states president ronald reagan's order to israeli prime minister menachem begin to put an end to his "" holocaust "" in lebanon is perhaps the best - known political anecdote from israel's 1982 invasion .",biden is still the best us president israel could wish for
the israeli military has launched more air strikes across the gaza strip to deadly effect as officials discuss the latest proposed deal to end hostilities and exchange prisoners .,israeli air strikes continue across gaza as truce talks struggle
french police officers entered the paris institute of political studies ( sciences po ) in paris and removed pro - palestinian student activists who had occupied its buildings to protest israel's war on gaza .,police remove pro-palestinian students from paris’s sciences po university
nan,mass graves found at southern gaza hospital raided by israeli forces
"here's how things stand on saturday , april 6 , 2024 :","israel’s war on gaza: list of key events, day 183"
nan,relatives of gaza captives protest in cages
"the international court of justice called on israel to end its operation in rafah , the southernmost town in gaza .","icj rules israel must stop rafah operation, what’s next?"
"a united nations - backed inquiry has concluded that war crimes have been committed by israel and by hamas as well as other palestinian groups , during the now eight - month conflict .","israel in gaza, palestinian fighters in israel, what the un accuses them of"
the discovery of a mass grave inside the nasser medical complex in khan younis in the southern gaza strip this week has been met with grief and horror from palestinians and has drawn condemnation from the united nations and calls for a transparent and credible investigation .,uncovering of mass grave at gaza’s nasser hospital: what you need to know
"the united kingdom will not halt arms sales to israel by british companies after reviewing the latest legal advice on the matter , foreign minister david cameron has said .","uk will not block arms sales to israel, says foreign minister david cameron"
"hamas says it has launched rockets at tel aviv , prompting sirens to sound in the israeli city for the first time in several months .","hamas fires rockets at israel’s tel aviv, causing first sirens for months"
nan,pakistani activists heckle german ambassador over gaza
"israeli tanks have rolled into rafah's city centre and its army announced that it now controls the entire philadelphi corridor , the strip of land that runs along egypt's border with gaza's rafah governorate .",how israel pushed dotted ‘red lines’ to have its way in rafah
the head of powerful lebanese armed group hezbollah said that residents of northern israel would not be able to return home for the start of the next school year if their government pressed on with its assault on the gaza strip .,hezbollah says will keep fighting if israel presses on with assault on gaza
"hamas says its delegation has left egypt but talks on a ceasefire in the gaza strip will continue next week until an agreement is reached with israel , whom the palestinian group says has "" thwarted "" mediators ' attempts to broker a deal before the muslim holy month of ramadan .",gaza ceasefire talks end in cairo with ‘no substantial answer or solution’
"washington , dc – as israel's war in gaza prompts mounting human rights concerns , the united states has slowly notched up criticism of the israeli government while simultaneously continuing to arm and support its ally .","timeline: the biden administration on gaza, in its own words"
"thirteen out of 21 people killed by israel in an air strike on the so - called "" safe area "" of al - mawasi were civilian women and girls , al jazeera's hind khoudary reported on tuesday .",what happened when israel attacked rafah?
"an israeli air attack on a un - run school sheltering displaced palestinians in central gaza's nuseirat camp killed at least 40 people , mainly women and children , according to local government officials .","israel attacks un-run school in central gaza, killing at least 40"
nan,"‘silence the guns,’ says un chief in speech marking 6 months of war on gaza"
"here's how things stand on tuesday , april 16 , 2024 :","israel’s war on gaza: list of key events, day 193"
"israeli prime minister benjamin netanyahu has said he would fight against any sanctions being imposed on israeli military units for alleged rights violations , after a united states media outlet reported that washington was planning such a step .",us set to impose sanctions on israeli military unit over abuses: report
al jazeera arabic correspondent ismail al - ghoul has been released after being arrested for 12 hours and severely beaten by israeli forces in gaza city's al - shifa hospital .,al jazeera journalist freed after 12-hour arrest by israeli forces in gaza
"on may 1 , a draft resolution was submitted to the united nations general assembly ( unga ) to declare july 11 a day of remembrance for the 1995 srebrenica genocide . the document was put forward by germany and rwanda and co - sponsored by the united states and other countries . it will be debated and voted on during a unga session on may 23 .",the theatrics of genocidal impunity
al jazeera is reporting from outside israel because it has been banned by the israeli government .,israeli military spokesman’s hamas defeat remarks widen rift with netanyahu
nan,"un report on israel, hamas: murder, starvation, gender-based violence"
"the united states and united kingdom have carried out six air strikes against targets in yemen , a houthi - run television station reports , as the yemeni group targets shipping lanes in the red sea .","us and uk air strikes hit yemen, houthi-run tv reports"
nan,palestinian girl rescued from rubble after israeli attack in gaza
"this year , the shadow of continued israeli attacks on the gaza strip looms large over palestinians as they prepare for the muslim holiday of eid al - fitr , marking the end of the fasting month of ramadan .",photos: palestinians in gaza prepare for eid amid death and destruction
"here's how things stand on friday , march 8 , 2024 :","israel’s war on gaza: list of key events, day 154"
"on march 6 , ayman shaer found himself lying on the ground in the ancient square of sebastia , bleeding and in unbearable pain .",'they would have to kill me first'
"hundreds of students have been arrested across universities in the united states , with scuffles reported between pro - israeli and pro - palestinian demonstrators at ucla , as rallies for a ceasefire in gaza and divestment from companies linked to israel spread across us campuses .","hundreds of students arrested in us gaza war protests, scuffles at ucla"
""" we're afraid people will resort to killing each other for food , "" 11 - year - old husam says as he recounts his daily battle to secure basic necessities like food , water and sanitation in rafah during the israel - hamas war .",how gaza’s children are preparing for israel’s invasion of rafah i close up
"australia and the united kingdom have called for an "" immediate cessation of fighting "" in gaza , warning of "" potentially devastating consequences "" if israel goes ahead with a planned ground assault on the southern city of rafah .","uk, australia call for ‘immediate’ end to fighting in gaza"
this live page is now closed . you can continue to follow our coverage of the war in gaza here .,israel’s war on gaza updates: un overwhelmingly votes for palestine rights
many world leaders have welcomed a united nations security council ( unsc ) resolution that demands an immediate ceasefire between israel and the palestinian group hamas in gaza .,world reacts to unsc resolution demanding gaza ceasefire
"israel is using bureaucracy to "" deliberately "" hinder aid supplies headed into gaza , oxfam has claimed .",oxfam accuses israel of ‘deliberately’ blocking aid to famine-stalked gaza
"on april 24 , amna homaid's torn body lay in the rubble of a house in shati camp , in the western part of gaza city , as rescuers tried to find survivors . an israeli attack had struck the building , killing her and her eldest son mahdi . her brother and her other five children were injured but survived .",remembering palestinian journalist amna homaid
nan,police arrest anti-war student protesters at texas university
