id,sentence,type
aj_1,pope renews call for gaza ceasefire release of captives in easter address pope francis says his thoughts go to those facing wars especially children who have forgotten how to smile,pro-palestinian
aj_5,the hospital was raided by israeli forces before their recent withdrawal from the area,pro-israeli
aj_10,the discovery of a mass grave inside the nasser medical complex in khan younis in the southern gaza strip this week has been met with grief and horror from palestinians and has drawn condemnation from the united nations and calls for a transparent and credible investigation,pro-palestinian
aj_13,the propalestinian demonstrators were quickly removed from the asma jahangir conference by authorities,pro-palestinian
aj_18,thirteen out of 21 people killed by israel in an air strike on the socalled safe area of almawasi were civilian women and girls al jazeeras hind khoudary reported on tuesday,pro-israeli
aj_24,the theatrics of genocidal impunity germany and the us are rendering a draft resolution on the bosnian genocide meaningless with their position on gaza,pro-palestinian
aj_24,on may 1 a draft resolution was submitted to the united nations general assembly unga to declare july 11 a day of remembrance for the 1995 srebrenica genocide,pro-palestinian
aj_24,the document was put forward by germany and rwanda and cosponsored by the united states and other countries,pro-palestinian
aj_24,it will be debated and voted on during a unga session on may 23,pro-palestinian
aj_25,al jazeera is reporting from outside israel because it has been banned by the israeli government,pro-israeli
aj_27,the united states and united kingdom have carried out six air strikes against targets in yemen a houthirun television station reports as the yemeni group targets shipping lanes in the red sea,pro-palestinian
aj_28,as she was freed from the debris the child is seen asking for her mother who died in the attack according to witnesses,pro-israeli
aj_31,they would have to kill me first a symbol of coexistence no more on march 6 ayman shaer found himself lying on the ground in the ancient square of sebastia bleeding and in unbearable pain,pro-palestinian
aj_35,you can continue to follow our coverage of the war in gaza here,pro-palestinian
aj_36,world reacts to unsc resolution demanding gaza ceasefire many officials around the world have welcomed the resolution,pro-palestinian
aj_38,a few weeks later an israeli missile killed her and her son,pro-israeli
aj_38,an israeli attack had struck the building killing her and her eldest son mahdi,pro-israeli
aj_39,dozens of students were arrested as police moved in to clear the encampment reportedly using pepper spray to disperse crowds,pro-israeli
aj_40,biden considers 18bn arms transfer to israel including f15 jets report biden faces pressure from foreign partners rights groups and some fellow democrats in congress to impose conditions on arms transfers to israel,pro-israeli
aj_40,us president joe bidens administration is weighing whether to go ahead with an 18bn arms transfer package to israel that would include dozens of f15 aircraft according to the reuters news agency,pro-israeli
aj_42,at least 500 medical staff have been killed in gaza since october 7,pro-palestinian
aj_47,united nations general assembly backs palestinian bid for membership resolution does not give palestine full un membership but recognises it as qualified to join and extends new rights and privileges,pro-palestinian
aj_47,the united nations general assembly unga has backed a palestinian bid to become a full un member by recognising it as qualified to join and recommending the un security council reconsider the matter favourably,pro-palestinian
aj_50,you can continue to follow our coverage of the war in gaza here,pro-palestinian
aj_52,israeli minister orders return of equipment seized from ap news agency the associated press news agency welcomes decision to return equipment raises concerns about the israeli governments use of the new foreign broadcaster law,pro-israeli
aj_53,spain formally recognises palestine as a state spain has formally recognised palestine as a state in a historic move towards justice and the only route to achieve peace according to prime minister pedro sanchez,pro-palestinian
aj_53,spain joins ireland norway and 144 other countries to acknowledge palestinian statehood,pro-palestinian
aj_59,you can continue to follow our coverage of the war in gaza here,pro-palestinian
aj_65,governing anc is vocally propalestine while main opposition da remains neutral on the gaza war which may affect voters on may 29,pro-palestinian
aj_67,guterres said the member states have a shared responsibility to work for peace and prevent further escalation of hostilities,pro-israeli
aj_75,what will the future bring between hezbollah and israel,pro-israeli
aj_76,you can continue to follow our coverage of the war in gaza here,pro-palestinian
aj_80,london england  as the united kingdom gears up for a critical general election some britons are deciding between party loyalty and independent candidates,pro-palestinian
aj_81,peoples protection force patrols gaza market groups of masked and armed men called the peoples protection committee are patrolling  rafah on the lookout for black market pricing,pro-palestinian
aj_82,you can continue to follow our coverage of the war in gaza here,pro-palestinian
aj_84,why bidens white house iftar unravelled amid gaza war sources tell al jazeera the white house cancelled ramadan meal after many muslim invitees declined to attend,pro-palestinian
aj_86,deir elbalah gaza  mohammad sukkar is safe now  or safer  but even as the team at alaqsa martyrs hospital in deir elbalah work to help him his eyes fill with tears as he recounts his experience in alshifa hospital,pro-palestinian
aj_89,i yearn for the girl i used to be gaza women tell their stories on international womens day four women in gaza reflect on life in the midst of a war,pro-palestinian
aj_89,deir elbalah gaza strip  on international womens day the women of gaza are continuing their daily struggle to care for their children and families and to stay alive,pro-palestinian
aj_90,greater than an encampment why gaza student protests strike a chord students say barrier of fear has been broken as encampments take over public spaces in defence of palestinians,pro-palestinian
aj_90,montreal canada  sitting on a bench in the heart of the mcgill university campus farrah says that she and her fellow student protesters want their school to listen,pro-palestinian
aj_91,you can continue to follow our coverage of the war in gaza here,pro-palestinian
aj_93,gaza infrastructure damages estimated at 18,pro-palestinian
aj_93,5bn in unworld bank report the initial assessment which describes the level of destruction in gaza as unprecedented is likely to be an underestimate of the real damages losses and needs in the palestinian enclave,pro-palestinian
aj_93,5bn a new report by the world bank and the united nations has found,pro-palestinian
aj_95,heres how things stand on sunday march 24 2024,pro-palestinian
aj_96,un backs palestines bid for membership how did your country vote,pro-palestinian
aj_96,a breakdown by country of the un general assembly vote on a resolution for palestinian to become a full un member,pro-palestinian
aj_96,the united nations general assembly unga has overwhelmingly voted to support a palestinian bid to become a full un member by recognising it as qualified to join and recommending the un security council reconsider the matter favourably,pro-palestinian
aj_98,you can continue to follow our coverage of the war in gaza here,pro-palestinian
aj_100,the solidarity of shared trauma deexceptionalising gaza the genocide in gaza is reshaping psychic life and political imaginations far beyond palestine,pro-palestinian
aj_100,and then the sirens too  the police and ambulance sirens,pro-israeli
aj_100,my cousin was killed my patient told me last november during a psychotherapy session in chicago home to the largest population of palestinian people in the united states,pro-palestinian
aj_101,the canadian arms embargo on israel that was not the canadian governments pledge not to sell weapons to israel doesnt apply to permits worth millions already approved,pro-israeli
aj_104,columbia university has cancelled its universitywide commencement ceremony after it cracked down on student protests in support of palestinians a campus movement that spurred a wave of similar demonstrations around the world,pro-palestinian
aj_106,to understand my dad i needed to learn about the day he was shot my father anthony shadid was shot while reporting on the second intifada,pro-palestinian
aj_107,london united kingdom  gillan mosely began questioning her upbringing as a teenager,pro-palestinian
aj_111,supreme leader khamenei says iran demonstrated its power against israel analysts say his comments have dampened fears of an allout war between iran and israel,pro-israeli
aj_112,as more bodies found uns turk horrified by gaza mass graves reports un human rights chief calls for independent and transparent inquiry after palestinian authorities uncover hundreds of bodies at hospital,pro-palestinian
aj_113,iraqs dangerous balancing act between iran and the us iraqi pm alsudanis visit to washington,pro-israeli
aj_113,dc came as its neighbour iran attacked israel raising fears of regional conflict,pro-israeli
aj_116,israel white phosphorous attacks on lebanon harming people and ecosystem more than 92600 people have been displaced from their villages in south lebanon by the attacks according to the iom,pro-israeli
aj_120,we are not numbers children in gaza stage eid protest we want a beautiful life,pro-palestinian
aj_121,shipping industry groups call for action after houthis sink second vessel organisations decry the unacceptable situation of assaults by yemeni group against vessels in the red sea,pro-palestinian
aj_121,leading shipping industry groups have called for action to halt houthi attacks on vessels in the red sea after the sinking of a second ship,pro-israeli
aj_122,hes lost my vote many irish americans turn against biden over gaza war a series of protests on st patricks day points to the threat biden faces from the loss of a key vote in swing states,pro-palestinian
aj_122,one evening in 2004 when john francis mulligan a usborn irish citizen was in the west bank a stranger asked him to walk her to a funeral,pro-palestinian
aj_124,a us bill is calling to reassess ussouth africa relations after recent painful points such as the icj case against israel,pro-israeli
aj_124,the united states house of representatives is reviewing a bill that calls for a reassessment of the countrys relationship with south africa amid tensions between the nations,pro-palestinian
aj_125,heckler demands netanyahus resignation at holocaust memorial event a man heckled israels prime minister during a holocaust remembrance day wreathlaying ceremony at yad vashem,pro-israeli
aj_125,the protester called for benjamin netanyahus resignation,pro-israeli
aj_132,wck aid worker killings are a message to the world weapons do not differentiate,pro-israeli
aj_134,you can continue to follow our coverage of the war in gaza here,pro-palestinian
aj_135,yemens houthis release video of attack on ship in red sea yemens houthis have released videos believed to show the moment they attacked a greekowned coal carrier ship in the red sea,pro-israeli
aj_138,palestinian journalist searches for missing mother only to find her body a palestinian journalist has been reliving his painful journey in search of his missing mother which ended in the discovery of her body at gazas alshifa hospital,pro-palestinian
aj_142,the take observing ramadan against the backdrop of war muslims around the world mark the start of ramadan,pro-palestinian
aj_143,the us says israel has already agreed to the deal,pro-israeli
aj_145,you can continue to follow our coverage of the war in gaza here,pro-palestinian
aj_146,as someone with palestinian heritage i couldnt stay in the labour party disillusioned with the uk oppositions stance on gaza british palestinian professor kamel hawwash plans to run in the general election,pro-palestinian
aj_148,i spent 43 days in gazas nowdestroyed hospitals,pro-palestinian
aj_148,despite being thousands of miles away i constantly think of my patients in gaza and wonder did they make it,pro-palestinian
aj_148,the next day i walked with my cousin to alshifa hospital to begin work not realising this would be the beginning of a 43day nightmare,pro-israeli
aj_150,mission impossible the visa process montreal canada  unlivable,pro-palestinian
aj_150, thats how canadas immigration minister marc miller described the situation in the gaza strip in late december,pro-palestinian
aj_151,3 million residents of the besieged palestinian territory face the imminent risk of famine,pro-palestinian
aj_152,crossborder fighting with israel leaves lebanese towns in ruins forced to flee israeli strikes tens of thousands of people in southern lebanon have no homes to return to after 6 months of crossborder clashes,pro-israeli
aj_152,israeli attacks have killed at least 50 civilians and according to the israeli army troops are being reinforced in preparation for a wider war,pro-israeli
aj_153,3 million palestinians in gaza,pro-palestinian
aj_157,the take a palestinian doctors fight to speak about gaza on nakba day dr ghassan abusittah shares how he won the fight to share his accounts of gaza as palestinians mark nakba day,pro-palestinian
aj_158,the war made me ugly says palestinian girl before the war i was beautiful,pro-palestinian
aj_167,you can continue to follow our coverage of the war in gaza here,pro-palestinian
aj_169,4 million displaced people comes as israel to send team to qatar,pro-israeli
aj_171,what is netzah yehuda the israeli battalion facing possible us sanctions,pro-israeli
aj_172,the group was filmed carrying out assaults and using fireworks and pepper spray on demonstrators at the gaza war protest encampment,pro-palestinian
aj_174,hezbollah commander killed in israeli drone strike in lebanon hezbollah and the israeli army confirm a commander of the armed group was killed in a drone strike on a car in southern lebanon,pro-israeli
aj_174,the strike on ismail yusaf baz comes as hezbollah claims to have hit an israeli iron dome battery causing casualties among the israeli crew,pro-israeli
aj_175,us universities crack down on propalestine protests propalestine protests are growing in momentum while also being accused of threatening the safety of students at us university campuses,pro-palestinian
aj_177,the only effective and efficient way to deliver heavy goods to meet gazas humanitarian needs is by road and includes an exponential increase in commercial deliveries says the united nations secretarygeneral antonio guterres,pro-palestinian
aj_180,you can continue to follow our coverage of the war on gaza here,pro-palestinian
aj_182,you can continue to follow our coverage of the war in gaza here,pro-palestinian
aj_183,how gaza protest at columbia university has escalated the antiwar protest at columbia university escalated on tuesday when a group of students took over a faculty building after the university began suspending students who refused to leave their protest camp,pro-palestinian
aj_184,what does the un resolution on gaza ceasefire mean,pro-palestinian
aj_184,the un security council has passed its first resolution demanding an immediate ceasefire in gaza after nearly six months of war,pro-palestinian
aj_185,from france to australia university students are part of propalestine protests as columbia students continue encampments,pro-palestinian
aj_188,houthi attack kills three sailors in groups first fatal strike on shipping houthiclaimed missile attack on greekoperated barbadosflagged commercial ship kills three sailors off the coast of yemen,pro-israeli
aj_189,fitch ratings has upgraded qatar to aa its thirdhighest rating on the back of revenues expected from its expanded gas fields the agency has said,pro-israeli
aj_191,are lebanons hezbollah and israel about to go to war,pro-israeli
aj_191,tensions and titfortat attacks are escalating between israel and the lebanese group hezbollah,pro-israeli
aj_194,australia challenged on moral failure of weapons trade with israel regular protests have been taking place outside australian firms making crucial components for the f35 fighter jet,pro-israeli
aj_195,us students use graduation to stand with palestine protests messages weaved into commencement addresses and the heckling of guest speakers including comedian jerry seinfeld are just some of the ways students in the us showed support for palestine during graduation ceremonies in the us,pro-palestinian
aj_198,boycott germany for forcing palestinians to pay for its crimes germany is forcing palestinians to pay for its own genocidal crimes and targeting jews and muslims who speak out says british writer owen jones,pro-palestinian
aj_199,does the united states want to be complicit in genocide,pro-palestinian
aj_200,palestinian children draw memories of bombed historical buildings according to united nations data more than half of gazas homes have been destroyed or damaged  as have 267 places of worship,pro-palestinian
aj_203,us advocacy groups back palestine solidarity campus protests amid gaza war nearly 190 advocacy organisations laud students courage amid ongoing crackdown on encampments across us universities,pro-palestinian
aj_204,israels war on gaza list of key events day 171 the united nations security council is scheduled to vote on a draft ceasefire resolution at 10am new york time,pro-palestinian
aj_209,you can continue to follow our coverage of the war in gaza here,pro-palestinian
aj_213,all eyes on rafah aiimage goes viral on social media this aigenerated image with the phrase alleyesonrafah has gone viral on social media even among celebrities who havent seemed to mention gaza before,pro-palestinian
aj_216,what did biden say about us arms transfers to israel and what does it mean,pro-israeli
aj_216,bidens warning to israel of a possible weapons cutoff is vague experts say but could mean the end of blank cheque policy,pro-israeli
aj_217,israels antizionists brave police beatings smears to demand end to war some have been jailed for refusing to serve in the armed forces while others face threats and harassment from rightwing groups,pro-israeli
aj_222,turkeys erdogan meets greek pm sees no unsolvable problems in ties on visit to ankara greeces prime minister kyriakos mitotakis says leaders wish to intensify our bilateral contacts,pro-palestinian
aj_222,turkish president recep tayyip erdogan told greek prime minister kyriakos mitotakis that there were no unsolvable problems between their countries as the leaders met in ankara,pro-palestinian
aj_223,displaced 12yearold boy becomes gazas youngest medic 12yearold zakaria essersek is a volunteer medic at alaqsa martyrs hospital in gaza,pro-palestinian
aj_223,inspired by seeing medical staff working around the clock he now assists doctors with newlydeveloped skills,pro-palestinian
aj_225,israels gallant rejects french initiative to defuse lebanon tensions defence minister says israel will not participate in trilateral group with us and france because of pariss hostile policies,pro-israeli
aj_225,israeli defense minister yoav gallant has rejected a french initiative aimed at defusing the growing tensions between israel and hezbollah as fears of an allout war between the two sides grow,pro-israeli
aj_226,changes in how the un calculates gazas casualties have been cited as evidence of bias,pro-palestinian
aj_228, israeli official heckled at icj genocide hearing an israeli official was interrupted by a heckler as she spoke at the international court of justice before the court cut the video feed,pro-israeli
aj_229,knesset passes a law that could shut down al jazeera in israel israeli lawmakers have overwhelmingly approved a law that gives senior ministers the power to temporarily shut foreign news networks that they deem a security risk,pro-israeli
aj_229,prime minister benjamin netanyahu said he would act immediately in accordance with the law to stop al jazeeras activity,pro-israeli
aj_230,videos of malnourished children show gazas forced starvation crisis starvation is getting worse in north gaza where 31 of children under the age of 2 are suffering from acute malnutrition a percentage which has doubled since january,pro-palestinian
aj_232,us congress to vote on aid for ukraine israel taiwan whats the deal,pro-israeli
aj_232,showdown looms speaker mike johnson struggling to rally republican malcontents dependent on democratic votes,pro-israeli
aj_234,white nationalist rally nothing compared with gaza protests trump claims former us president says charlottesville rally was a little peanut compared with propalestinian student protests,pro-palestinian
aj_234,former united states president donald trump has claimed that propalestinian protests on university campuses are more hateful than the infamous 2017 white nationalist rally in charlottesville virginia,pro-palestinian
aj_236,is israel hoping to escalate hostilities with hezbollah in lebanon,pro-israeli
aj_236,beirut lebanon  after israel killed at least one person in an attack on baalbek its second attack on eastern lebanon since october 7 a reported 100 rockets were fired from lebanon into israel triggering sorties by israeli fighter jets attacking various locations in lebanon,pro-israeli
aj_237,special rapporteurs report details planned indiscriminate attacks on civilians,pro-israeli
aj_239,lebanons hezbollah fires dozens of rockets at israeli positions attacks by iranaligned group come as israel anticipates an iranian response to an air strike on its syria consulate,pro-israeli
aj_241,5bn of warplanes and weapons to israel the washington post reports,pro-israeli
aj_244,prime minister benjamin netanyahus government is facing growing internal friction over the way forward in the war,pro-israeli
aj_244,many of the coalitions farright members have urged the prime minister to ignore growing international pressure to rein in israels onslaught on the territory,pro-israeli
aj_247,citing irans weekend attack against the us ally president joe biden on wednesday urged lawmakers to pass stalled legislation that would provide billions in military and other aid to israel,pro-israeli
aj_248,can the un security council agree on a ceasefire resolution for gaza,pro-palestinian
aj_248,the united nations security council has failed to pass a united statesdrafted resolution recognising the need for a ceasefire in gaza,pro-palestinian
aj_251,you can continue to follow our coverage of the war in gaza here,pro-palestinian
aj_255,will icc action deepen israels international isolation,pro-israeli
aj_255,in more than seven months of war more than 35000 palestinians have been killed and large parts of the gaza strip destroyed,pro-palestinian
aj_256,stars wear pins calling for an immediate ceasefire in gaza as well as the release of captives at the academy awards,pro-palestinian
aj_256,celebrities including musicians billie eilish and finneas oconnell poor things star mark ruffalo and comedian ramy youssef wore red pins at the 96th academy awards to call for a ceasefire in gaza,pro-palestinian
aj_257,what does israel have in its arsenal that it could use against iran,pro-israeli
aj_257,israel has airborne and naval capabilities that it can use against iran but it must choose any target carefully,pro-israeli
aj_257,on friday morning iranian air defences shot down three drones above its central province of isfahan,pro-israeli
aj_259,israeli fire most likely killed woman taken captive on october 7 army efrat katz was reportedly in a vehicle with her abductors when an israeli aircraft fired at it,pro-israeli
aj_260,washington dc  congressional leaders in the united states have proposed a spending bill that would avert a government shutdown but ban funding for the united nations relief and works agency for palestine refugees unrwa,pro-palestinian
aj_261,columbia university officials have ordered classes to be held virtually as they seek to deescalate tensions on the new york city campus during propalestinian demonstrations,pro-palestinian
aj_263,aj 360 premieres unflinching film with alshifa hospital siege survivors unflinching,pro-palestinian
aj_263,uncensored,pro-palestinian
aj_265,in its ruling the icj said the circumstances as they present themselves now do not require the exercise of power,pro-israeli
aj_267,are we witnessing nakba 2,pro-palestinian
aj_267,0 in gaza,pro-palestinian
aj_267,with record numbers of palestinians killed and displaced once again in gaza a growing movement online is asking is this nakba 2,pro-palestinian
aj_268,dartmouth said the ban was down to court officials and will request that any errors be corrected,pro-israeli
aj_269,shutdown threat when has israel targeted al jazeera before,pro-israeli
aj_269,israels parliament passed a law on monday that allows temporary shutdowns of foreign media in israel including  and perhaps principally  al jazeera,pro-israeli
aj_270,mama were dying only able to hear her kids in gaza in their final days hanan and mazen were stuck in the west bank,pro-palestinian
aj_270,bethlehem occupied west bank  hanan alqeeq sits next to a hospital bed in beit jala hospital her sad pale face seconds away from tears at all times even when she tries to muster up a smile of greeting,pro-palestinian
aj_271,gaza will need largest postwar reconstruction effort since 1945 un says un development programme official estimates postwar reconstruction will cost between 4050bn,pro-palestinian
aj_271,the level of destruction in gaza has not been since world war ii according to a united nations official who estimated that postwar reconstruction could cost up to 50bn,pro-palestinian
aj_273,deir elbalah gaza  for over six years moath raja allah was known as one of the top players in gazas ramadan football tournaments,pro-palestinian
aj_274,wisconsin is latest us state to send uncommitted message to biden on gaza more than 47800 people cast uninstructed votes in state primary in latest stop of national protest movement,pro-palestinian
aj_275,worms insects infest gazabound food stuck rotting in egyptian sun worms and insects are eating up shipments of food originally meant for the people of gaza,pro-palestinian
aj_276,israel will be the ultimate loser in war with hezbollah iran says israel says it will soon make the necessary decisions about confronting the iranallied lebanese group,pro-israeli
aj_276,iran says hezbollah is capable of defending itself and lebanon warning israel that it would be the ultimate loser in an allout war with the lebanese armed group,pro-israeli
aj_279,you can continue to follow our coverage of the war in gaza here,pro-palestinian
aj_280,rafah gaza  it is nearly impossible to describe the feelings of a mother in the gaza strip on mothers day,pro-palestinian
aj_281,how the us state department shields israel from sanctions inside the labyrinth of the state departments mechanisms that allow the flow of weapons to israel despite violations,pro-israeli
aj_285,wael dahdouh gazas voice amid loss and courage al jazeeras gaza bureau chief bears scars of war echoes resilience globally,pro-palestinian
aj_285,journalists especially in war zones face immense challenges in reporting conflict realities,pro-palestinian
aj_287,you can continue to follow our coverage of the war in gaza here,pro-palestinian
aj_290,you can continue to follow our coverage of the war in gaza here,pro-palestinian
aj_298,man accused of spraying pesticide on us antigaza war encampment a man has been filmed spraying an unknown liquid on protesters belongings and banners at a palestine solidarity camp at the us university of pennsylvania,pro-palestinian
aj_298,he was later seen being taken away by police,pro-israeli
aj_299,celebrations in iran as it concludes retaliatory attack on israel iran says its firstever direct attack on israel was revenge for israels targeting of iranian personnel,pro-israeli
aj_299,tehran says its retaliation has been concluded but warns of a harsher response next time if israel strikes again,pro-israeli
aj_303,what does the increasing recognition of palestinian statehood mean,pro-palestinian
aj_303,norway ireland and spain announce they will recognise an independent palestinian state,pro-palestinian
aj_306,you can continue to follow our coverage of the war in gaza here,pro-palestinian
aj_307,as palestine applies for full un membership whats in the way,pro-palestinian
aj_307,the un security council on monday asked its membership committee to review the palestinian authoritys application to be made a full member state of the united nations,pro-palestinian
aj_313,abc australia staffs concerns over proisrael bias revealed staff warned that language in the national broadcasters coverage favoured the israeli narrative over objective reporting,pro-israeli
aj_316,you can continue to follow our coverage of the war in gaza here,pro-palestinian
aj_317,us envoy meets with israeli leaders as tensions with hezbollah escalate amos hochstein is also set to visit lebanon amid growing fears of an allout war between hezbollah and israel,pro-israeli
aj_319,palestinian president mahmoud abbas has appointed his longtime economic adviser mohammed mustafa to be the next prime minister in the face of us pressure to reform the palestinian authority as part of washingtons postwar vision for gaza,pro-palestinian
aj_320,western allies face genocide complicity if support for israel continues experts say western allies are risking sanction from the icj if they continue to ship arms to israel,pro-israeli
aj_320,an attack on a humanitarian convoy killing several foreign aid workers,pro-israeli
aj_320,the destruction of a hospital with hundreds killed inside,pro-palestinian
aj_323,5 million displaced people are sheltering,pro-israeli
aj_324,the war will end remembering mahmoud darwish palestines poetic voice mahmoud darwishs poems are ever relevant to the conditions of palestinians particularly now in gaza,pro-palestinian
aj_324,the beauty of gaza is that our voices do not reach it,pro-palestinian
aj_324,gaza is devoted to rejection hunger and rejection thirst and rejection displacement and rejection torture and rejection siege and rejection death and rejection,pro-palestinian
aj_325,activists and organisers say this shift impacts civil liberties and perpetuates systemic racism against marginalised us communities,pro-palestinian
aj_327,he then joined colleagues in sicily to try to take israel to the icj,pro-israeli
aj_327,messina italy  piles of court documents in english and arabic filled the desk and covered the floor of triestino mariniellos home office for much of march in messina a city in southern italy overlooking mediterranean waters on one side and the smoking etna volcano on the other,pro-palestinian
aj_332,how effective is turkeys ban on trade with israel,pro-israeli
aj_332,for years israel and turkey have been crucial trade partners,pro-israeli
aj_336,over 13000 children killed in gaza others severely malnourished unicef the un agency says surviving children do not even have the energy to cry as famine looms in the besieged enclave being bombarded for months,pro-palestinian
aj_338,you can continue to follow our coverage of the war in gaza here,pro-palestinian
aj_339,you can continue to follow our coverage of the war in gaza here,pro-palestinian
aj_340,the take gazas starvation looms over bidens state of the union address the un says a quarter of the people in gaza are one step away from famine,pro-palestinian
aj_341,over the past six months lawyers activists organisations and states who believe that international law and conventions that prohibit genocide actually mean something and must be implemented have submitted an unprecedented number of lawsuits and motions to national and international courts,pro-palestinian
aj_343,the icc can no longer ignore the genocide in gaza failure to launch an investigation into genocide in gaza and issue arrest warrants can have a devastating impact on the international criminal court,pro-palestinian
aj_343,over the past few months the international criminal court icc under the leadership of prosecutor karim khan has come under heavy criticism for not taking any concrete steps to prosecute the crime of genocide in gaza,pro-palestinian
aj_346,new report documents use of us arms in israeli war crimes this week on upfront marc lamont hill talks to the authors of a new scathing report on us arms sales to israel,pro-israeli
aj_346,but is this transfer of weapons against both domestic and international law,pro-palestinian
aj_350,the take how do the hungry mark eid alfitr in gaza,pro-palestinian
aj_351,how the met gala triggered a social media blockout2024  a digital guillotine  against celebrities silence on gaza,pro-palestinian
aj_353,its weakness on gaza may cost uk labour a majority in the next election the voters will not ignore the partys inability to strongly condemn and demand an immediate end to the unimaginable suffering being inflicted on more than two million civilians in gaza,pro-palestinian
aj_353,earlier this month across england and wales people went to the polls in local and mayoral elections in what was seen by many as a trial run for the next united kingdom general election expected later this year,pro-palestinian
aj_354,how will iran respond to israels attack on its damascus consulate,pro-israeli
aj_354,iran has vowed retaliation for an israeli attack on its consulate in damascus last monday,pro-israeli
aj_356,irans irgc seizes israelilinked ship near strait of hormuz irgc forces conducted an operation via helicopter to take control of the commercial vessel state media reports,pro-israeli
